| Epoch | Train Loss | Train Acc (%) | Val Loss   | Val Acc (%) | Learning Rate |
---------------------------------------------------------------------------------
| 1     | 1.0658     | 57.58         | 0.9513     | 66.59       | 5.00e-04       |
| 2     | 0.9789     | 62.38         | 0.9218     | 66.93       | 5.00e-04       |
| 3     | 0.9537     | 63.42         | 0.9476     | 65.59       | 5.00e-04       |
| 4     | 0.9382     | 64.65         | 0.9211     | 63.13       | 5.00e-04       |
| 5     | 0.9183     | 66.09         | 0.8902     | 68.38       | 5.00e-04       |
| 6     | 0.9045     | 67.33         | 0.8634     | 69.27       | 5.00e-04       |
| 7     | 0.8832     | 68.76         | 0.9894     | 63.13       | 5.00e-04       |
| 8     | 0.8657     | 69.26         | 0.8878     | 70.95       | 5.00e-04       |
| 9     | 0.8511     | 71.20         | 0.9154     | 66.93       | 5.00e-04       |
| 10    | 0.8357     | 72.24         | 0.9356     | 66.59       | 5.00e-04       |
| 11    | 0.8212     | 73.22         | 0.8962     | 67.93       | 5.00e-04       |
| 12    | 0.8155     | 73.45         | 0.9221     | 66.48       | 5.00e-04       |
| 13    | 0.7923     | 75.15         | 1.1876     | 56.76       | 5.00e-04       |
| 14    | 0.7761     | 76.18         | 0.9086     | 69.05       | 5.00e-04       |
| 15    | 0.7561     | 77.89         | 0.9185     | 70.17       | 5.00e-04       |
| 16    | 0.7433     | 78.42         | 0.8661     | 70.17       | 5.00e-04       |
| 17    | 0.7181     | 80.17         | 0.9203     | 70.39       | 5.00e-04       |
| 18    | 0.7051     | 80.92         | 1.0263     | 68.72       | 5.00e-04       |
| 19    | 0.6868     | 82.20         | 0.9179     | 70.39       | 5.00e-04       |
| 20    | 0.6714     | 83.33         | 0.9331     | 70.06       | 5.00e-04       |
| 21    | 0.6511     | 84.38         | 1.1993     | 60.34       | 5.00e-04       |
| 22    | 0.6344     | 85.29         | 0.8987     | 72.29       | 5.00e-04       |
| 23    | 0.6215     | 86.16         | 0.9573     | 69.83       | 5.00e-04       |
| 24    | 0.6001     | 87.63         | 0.9873     | 71.06       | 5.00e-04       |
| 25    | 0.5882     | 88.01         | 0.9532     | 71.06       | 5.00e-04       |
| 26    | 0.5755     | 88.92         | 0.9661     | 72.85       | 5.00e-04       |
| 27    | 0.5551     | 90.18         | 0.9355     | 71.84       | 5.00e-04       |
| 28    | 0.5493     | 90.60         | 0.9968     | 69.50       | 5.00e-04       |
| 29    | 0.5369     | 91.13         | 0.9719     | 72.63       | 5.00e-04       |
| 30    | 0.5232     | 91.90         | 0.9580     | 72.74       | 5.00e-04       |
| 31    | 0.5188     | 92.33         | 1.0502     | 68.72       | 5.00e-04       |
| 32    | 0.5097     | 92.64         | 0.9792     | 69.83       | 5.00e-04       |
| 33    | 0.5008     | 93.31         | 0.9484     | 72.07       | 5.00e-04       |
| 34    | 0.4957     | 93.50         | 0.9601     | 73.74       | 5.00e-04       |
| 35    | 0.4806     | 94.39         | 1.0295     | 70.06       | 5.00e-04       |
| 36    | 0.4859     | 94.04         | 1.0274     | 70.73       | 5.00e-04       |
| 37    | 0.4721     | 94.92         | 0.9537     | 72.51       | 5.00e-04       |
| 38    | 0.4645     | 95.25         | 0.9360     | 72.74       | 5.00e-04       |
| 39    | 0.4563     | 95.62         | 1.0101     | 70.95       | 5.00e-04       |
| 40    | 0.4620     | 95.38         | 0.9696     | 73.41       | 5.00e-04       |
| 41    | 0.4575     | 95.53         | 0.9455     | 75.53       | 5.00e-04       |
| 42    | 0.4469     | 96.22         | 0.9725     | 72.40       | 5.00e-04       |
| 43    | 0.4420     | 96.38         | 0.9921     | 71.62       | 5.00e-04       |
| 44    | 0.4452     | 96.40         | 1.0046     | 72.40       | 5.00e-04       |
| 45    | 0.4398     | 96.49         | 1.0009     | 70.95       | 5.00e-04       |
| 46    | 0.4370     | 96.57         | 0.9594     | 73.30       | 5.00e-04       |
| 47    | 0.4339     | 96.98         | 0.9877     | 72.96       | 5.00e-04       |
| 48    | 0.4347     | 96.66         | 0.9269     | 72.18       | 5.00e-04       |
| 49    | 0.4288     | 96.98         | 1.0638     | 69.94       | 5.00e-04       |
| 50    | 0.4285     | 97.20         | 0.9741     | 72.40       | 5.00e-04       |
---------------------------------------------------------------------------------
